,Synonyms
0,"['Benign cutaneous periarteritis nodosa', 'Cutaneous leukocytoclastic angiitis', 'Cutaneous polyarteritis nodosa', 'Hypersensitivity angiitis', 'Myopathy due to polyarteritis nodosa', 'Nephrotic syndrome in polyarteritis nodosa', 'Periarteritis', 'Polyarteritis nodosa', 'Polyarteritis nodosa with multi-organ involvement', 'Polyarteritis nodosa with single organ involvement', 'Polyneuropathy in collagen vascular disease', 'Polyneuropathy in polyarteritis nodosa', 'Retinal vasculitis due to polyarteritis nodosa', 'Single organ vasculitis']"
1,"['Autoimmune vasculitis', 'Eosinophilic granulomatosis with polyangiitis', 'Hypersensitivity angiitis', 'Lung disorder due to autoimmune disorder', 'Primary necrotizing systemic vasculitis', 'Primary necrotizing vasculitis with granulomata', 'Pulmonary disease due to allergic granulomatosis angiitis']"
2,"['Juvenile polyarteritis', 'Myopathy due to polyarteritis nodosa', 'Nephrotic syndrome in polyarteritis nodosa', 'Polyarteritis nodosa', 'Polyarteritis nodosa with multi-organ involvement', 'Polyarteritis nodosa with single organ involvement', 'Polyneuropathy in collagen vascular disease', 'Polyneuropathy in polyarteritis nodosa']"
3,"['Acute febrile mucocutaneous lymph node syndrome', 'Aneurysm of coronary artery due to and following acute febrile mucocutaneous lymph node syndrome', 'Aneurysm of coronary vessels']"
4,"['Polyangiitis overlap syndrome', 'Primary necrotizing systemic vasculitis']"
5,"[""Goodpasture's disease"", ""Goodpasture's syndrome"", 'Hemorrhage of kidney', 'Hypersensitivity angiitis', 'Hypersensitivity reaction mediated by immune complex', 'Infantile acute hemorrhagic edema', 'Normocomplementemic urticarial vasculitis', 'Pulmonary renal syndrome', 'Small vessel vasculitis caused by immune complex', 'Urticarial vasculitis']"
6,"['Acquired thrombotic thrombocytopenic purpura', 'Acquired thrombotic thrombocytopenic purpura', 'Autoimmune thrombotic thrombocytopenic purpura', 'Capillary thrombosis', 'Capillary thrombosis', 'Drug induced thrombotic thrombocytopenic purpura', 'Purpura', 'Purpura', 'Thrombotic microangiopathy', 'Thrombotic microangiopathy', 'Thrombotic thrombocytopenic purpura', 'Thrombotic thrombocytopenic purpura', 'Upshaw-Schulman syndrome']"
7,"['Extranodal NK/T-cell lymphoma, nasal type', 'Lethal midline granuloma']"
8,"['Bronchocentric granulomatosis', 'Glomerulonephritis co-occurrent and due to antineutrophil cytoplasmic antibody positive vasculitis', 'Granulomatosis with polyangiitis', 'Granulomatosis with polyangiitis of gingiva', 'Granulomatosis with polyangiitis of larynx', 'Granulomatosis with polyangiitis of nose', 'Granulomatosis with polyangiitis with multisystem involvement', 'Limited granulomatosis with polyangiitis', 'Necrotizing sarcoid granulomatosis', 'Pulmonary sarcoidosis', 'Scleritis due to granulomatosis with polyangiitis']"
9,"['Glomerulonephritis co-occurrent and due to antineutrophil cytoplasmic antibody positive vasculitis', 'Glomerulonephritis due to granulomatosis with polyangiitis', 'Granulomatosis with polyangiitis']"
10,"['Aortitis', ""Takayasu's disease""]"
11,"['Giant cell arteritis', 'Giant cell arteritis with polymyalgia rheumatica', 'Polymyalgia rheumatica']"
12,"['Cerebral arteritis', 'Cerebral arteritis in giant cell arteritis', 'Giant cell arteritis', 'Giant cell arteritis', 'Giant cell arteritis without polymyalgia rheumatica', 'Temporal arteritis', 'Temporal arteritis']"
13,"['Microscopic polyarteritis nodosa', 'Microscopic polyarteritis nodosa with multi-organ involvement', 'Microscopic polyarteritis nodosa with single organ involvement', 'Polyarteritis nodosa', 'Primary necrotizing systemic vasculitis', 'Respiratory disorder co-occurrent and due to microscopic polyangiitis']"
14,"['Demyelination due to systemic vasculitis', 'Drug-induced necrotizing vasculitis', 'Hypocomplementemic urticarial vasculitis', 'Interstitial lung disease with systemic vasculitis', 'Necrotizing rheumatoid vasculitis', 'Necrotizing vasculitis of undetermined etiology', 'Necrotizing vasculitis secondary to connective tissue disease', 'Necrotizing vasculitis secondary to infection', 'Primary cutaneous vasculitis', 'Primary necrotizing systemic vasculitis', 'Small vessel vasculitis caused by immune complex']"
15,"['Cryoglobulinemic vasculitis', 'Cutaneous complication of systemic sclerosis', 'Lupus erythematosus-associated necrotizing vasculitis', 'Lupus vasculitis', 'Necrotizing arteritis', 'Necrotizing vasculitis', 'Necrotizing vasculitis due to mixed cryoglobulinemia', 'Necrotizing vasculitis secondary to connective tissue disease', 'Necrotizing vasculitis secondary to connective tissue disease', 'Scleroderma-associated necrotizing vasculitis', 'Small vessel vasculitis caused by immune complex']"
16,"['Drug-induced lupus erythematosus', 'Drug-induced lupus erythematosus due to diphenylhydantoin', 'Drug-induced lupus erythematosus due to hydralazine', 'Drug-induced lupus erythematosus due to procainamide', 'Drug-induced systemic lupus erythematosus']"
17,"['Connective tissue disease overlap syndrome', 'Fulminating systemic lupus erythematosus', 'Lupus erythematosus overlap syndrome', 'Mixed collagen vascular disease', 'Overlap syndrome', 'Systemic lupus erythematosus with multisystem involvement', 'Systemic lupus erythematosus with organ/system involvement', 'Systemic lupus erythematosus-related syndrome']"
18,"['Endocarditis associated with another disorder', 'Endocarditis due to systemic lupus erythematosus', 'Nonbacterial verrucal endocardiosis']"
19,"['Pericarditis secondary to systemic lupus erythematosus', 'Systemic lupus erythematosus with pericarditis']"
20,"['Lung disease due to connective tissue disorder', 'Lung disease with systemic lupus erythematosus', 'Lung disorder due to autoimmune disorder', 'Lupus disease of the lung', 'Lupus pneumonia', 'Shrinking lung syndrome']"
21,"['Focal AND segmental proliferative glomerulonephritis', 'Glomerular disease due to systemic lupus erythematosus', 'Mesangial proliferative glomerulonephritis', 'Nephropathy co-occurrent and due to systemic lupus erythematosus', 'Nephrosis co-occurrent and due to systemic lupus erythematosus', 'Nephrotic syndrome associated with another disorder', 'Nephrotic syndrome co-occurrent and due to systemic lupus erythematosus', 'Sclerosing glomerulonephritis', 'SLE glomerulonephritis syndrome', 'SLE glomerulonephritis syndrome, WHO class I', 'SLE glomerulonephritis syndrome, WHO class II', 'SLE glomerulonephritis syndrome, WHO class III', 'SLE glomerulonephritis syndrome, WHO class IV', 'SLE glomerulonephritis syndrome, WHO class V', 'SLE glomerulonephritis syndrome, WHO class VI']"
22,"['Renal tubulo-interstitial disorder in systemic lupus erythematosus', 'Renal tubulo-interstitial disorders in systemic connective tissue disorders']"
23,"['Autoimmune encephalitis', 'Autoimmune vasculitis', 'Cerebral arteritis', 'Cerebral arteritis in systemic vasculitis', 'Cheilitis due to lupus erythematosus', 'Demyelination of central nervous system co-occurrent and due to systemic lupus erythematosus', 'Lupus vasculitis', 'Myopathy due to disseminated lupus erythematosus', 'Retinal vasculitis due to systemic lupus erythematosus', 'Systemic lupus erythematosus encephalitis']"
24,"['Bullous systemic lupus erythematosus', 'Rash of systemic lupus erythematosus']"
25,"['Acute systemic lupus erythematosus', 'Autosomal systemic lupus erythematosus', 'Chorea co-occurrent and due to systemic lupus erythematosus', 'Chorea in systemic lupus erythematosus', 'Dilated cardiomyopathy associated with connective tissue disorder', 'Dilated cardiomyopathy secondary to systemic lupus erythematosus', 'Disseminated discoid lupus erythematosus', 'Polyneuropathy in collagen vascular disease', 'Polyneuropathy in disseminated lupus erythematosus', 'Secondary autoimmune hemolytic anemia', 'Secondary autoimmune hemolytic anemia co-occurrent and due to systemic lupus erythematosus', 'Systemic lupus erythematosus', 'Systemic lupus erythematosus in remission', 'Systemic lupus erythematosus of childhood']"
26,"['Childhood type dermatomyositis', 'Dermatomyositis']"
27,"['Childhood type dermatomyositis', 'Juvenile dermatomyositis co-occurrent with respiratory involvement']"
28,[]
29,[]
30,[]
31,"['Adult onset dermatomyositis', 'Autoimmune inflammation of skeletal muscle', 'Connective tissue disease overlap syndrome', 'Neonatal dermatomyositis', 'Overlap syndrome', 'Poikilodermatomyositis', 'Sclerodermatomyositis']"
32,[]
33,[]
34,[]
35,[]
36,"['Eosinophilic polymyositis', 'Idiopathic polymyositis', 'Juvenile polymyositis', 'Polymyositis', 'Polymyositis', 'Polymyositis', 'Polymyositis', 'Polymyositis', 'Polymyositis', 'Polymyositis associated with autoimmune disease', 'Polymyositis with malignant disease']"
37,"['Lung disease with polymyositis', 'Polymyositis']"
38,"['Acute sarcoid polymyositis', 'Polymyositis', 'Sarcoid myopathy', 'Secondary myopathy']"
39,[]
40,"['Dermatomyositis', 'Idiopathic dermatomyositis']"
41,['Disorder of respiratory system due to dermatomyositis']
42,"['Dermatomyositis sine myositis', 'Dilated cardiomyopathy secondary to dermatomyositis']"
43,[]
44,[]
45,['Progressive systemic sclerosis']
46,"['CREST syndrome', 'CRST syndrome', 'Limited systemic sclerosis', 'Limited systemic sclerosis', ""Raynaud's phenomenon"", ""Raynaud's phenomenon"", ""Secondary Raynaud's phenomenon"", ""Secondary Raynaud's phenomenon"", 'Systemic sclerosis with limited cutaneous involvement', 'Systemic sclerosis with limited cutaneous involvement']"
47,"['Systemic sclerosis due to chemical', 'Systemic sclerosis induced by drugs and chemicals']"
48,['Lung disease with systemic sclerosis']
49,['Myopathy due to systemic sclerosis']
50,['Polyneuropathy due to systemic sclerosis']
51,"['Acute scleroderma renal crisis', 'Chronic graft-versus-host disease', 'Graft versus host disease', 'Limited systemic sclerosis', 'Porphyria-induced scleroderma', 'Renal involvement in scleroderma', 'Sclerodermoid chronic graft-versus-host disease', 'Systemic sclerosis sine scleroderma', 'Systemic sclerosis with limited cutaneous involvement', 'Thickening of skin']"
52,"['Autoimmune liver disease', 'Biliary cirrhosis', 'Calcinosis associated with widespread tissue injury', 'Cutaneous complication of systemic sclerosis', 'Cutaneous complication of systemic sclerosis', 'Cutaneous complication of systemic sclerosis', 'Dilated cardiomyopathy associated with connective tissue disorder', 'Dilated cardiomyopathy due to systemic sclerosis', 'Disorder of connective tissue co-occurrent and due to systemic disease', 'Fibrosis of bile duct', 'Glomerulonephritis co-occurrent and due to scleroderma', 'Hypermelanosis due to connective tissue disorder', 'Hypothyroidism due to systemic sclerosis', 'Limited systemic sclerosis', 'Necrotizing vasculitis secondary to connective tissue disease', 'Occupational scleroderma', 'Pediatric onset systemic sclerosis', 'Pericarditis secondary to scleroderma', 'Primary biliary cholangitis', 'Progressive systemic sclerosis', 'Renal involvement in scleroderma', 'Reynolds syndrome', 'Scleredema', 'Sclerema', 'Scleroderma-associated calcinosis', 'Scleroderma-associated hypermelanosis', 'Scleroderma-associated nail dystrophy', 'Scleroderma-associated nailfold telangiectasia', 'Scleroderma-associated necrotizing vasculitis', 'Scleroderma-associated poikiloderma', 'Scleroderma-associated telangiectasia', 'Systemic sclerosis', 'Systemic sclerosis, diffuse', 'Thickening of skin']"
53,"['Pediatric onset Sjögren syndrome', ""Primary Sjögren's syndrome"", ""Secondary Sjögren's syndrome"", ""Sjögren's syndrome""]"
54,"['Dry eyes', 'Finding of moistness of eye', 'Keratoconjunctivitis sicca', ""Keratoconjunctivitis sicca, in Sjögren's syndrome""]"
55,"[""Lung disease with Sjögren's disease"", ""Pseudolymphoma of lung in Sjögren's disease""]"
56,"[""Myopathy due to Sjögren's disease""]"
57,"['Renal tubulo-interstitial disorders in systemic connective tissue disorders', 'Tubulointerstitial nephropathy due to Sjogren syndrome']"
58,"['Demyelination of central nervous system co-occurrent and due to Sjogren disease', ""Lymphoepithelial sialadenitis of Sjögren's syndrome"", ""Primary Sjögren's syndrome"", ""Primary Sjögren's syndrome"", ""Primary Sjögren's syndrome with multisystem involvement"", ""Primary Sjögren's syndrome with organ/system involvement"", ""Secondary Sjögren's syndrome"", ""Secondary Sjögren's syndrome"", ""Secondary Sjögren's syndrome with multisystem involvement"", ""Secondary Sjögren's syndrome with organ/system involvement""]"
59,"['Connective tissue disease overlap syndrome', 'Lupus erythematosus overlap syndrome', 'Overlap syndrome', 'Overlap syndrome', 'Undifferentiated connective tissue disease']"
60,"[""Arthropathy in Behcet's syndrome"", ""Arthropathy in Behcet's syndrome of multiple sites"", ""Arthropathy in Behcet's syndrome of the ankle"", ""Arthropathy in Behcet's syndrome of the ankle and/or foot"", ""Arthropathy in Behcet's syndrome of the hand"", ""Arthropathy in Behcet's syndrome of the pelvic region and thigh"", ""Arthropathy in Behcet's syndrome of the shoulder region"", ""Arthropathy in Behcet's syndrome of the spine"", ""Behçet's disease affecting oral mucosa"", ""Behcet's disease with multisystem involvement"", ""Behcet's disease with organ/system involvement"", ""Behcet's syndrome"", ""Behcet's syndrome, complete type"", ""Behcet's syndrome, incomplete type"", ""Behcet's syndrome, intestinal type"", ""Behcet's syndrome, neurologic type"", ""Behcet's syndrome, vascular type"", 'Demyelination of central nervous system co-occurrent and due to Behcet disease', ""Iritis in Behcet's syndrome"", ""Panuveitis in Behcet's syndrome"", ""Penile ulceration due to Behçet's disease"", 'Ulcer of penis', 'Ulceration of vulva associated with another disorder', ""Ulceration of vulva in Behcet's disease""]"
61,"['Polymyalgia', 'Polymyalgia rheumatica']"
62,"['Eosinophilic fasciitis due to L-tryptophan', 'Fasciitis with eosinophilia syndrome', 'Fasciitis with eosinophilia syndrome']"
63,"['Fibrosclerosis - systemic', 'Multifocal fibrosclerosis']"
64,"['Nodular panniculitis', 'Relapsing febrile nodular nonsuppurative panniculitis']"
65,"['Foot joint hypermobility', 'Generalized benign joint hypermobility', 'Heide syndrome', 'Hypermobility syndrome', 'Hypermobility syndrome', 'Laxity of ligament', 'Laxity of ligament', 'Localized benign joint hypermobility', 'Marfanoid joint hypermobility syndrome', ""Marfan's syndrome"", 'Metatarsophalangeal joint hypermobility', 'Musculoskeletal alteration', 'Musculoskeletal hypermobility', 'Spondyloepiphyseal dysplasia with joint laxity']"
66,"['Antisynthetase syndrome', 'Collagen deficiency syndrome', 'Eosinophilia myalgia syndrome', 'Eosinophilia myalgia syndrome', 'Eosinophilia-myalgia syndrome from tryptophan', 'Immunoglobulin G4 related disease', 'Marden Walker syndrome', 'Polyneuropathy in collagen malignant disease', 'Satoyoshi syndrome']"
67,"['Acquired poikiloderma', 'Acquired sensorineural hearing loss', 'Associated pulmonary arterial hypertension', 'Autoimmune connective tissue disorder', 'Autoimmune disease', 'Autoimmune inflammation of skeletal muscle', 'Autoimmune leukopenia', 'Autoimmune necrotizing myopathy', 'Autoimmune pancytopenia', 'Autoimmune sensorineural hearing loss', 'Autoimmune skin disease', 'Collagen and elastic tissue disorders affecting skin', 'Collagen disease', 'Congenital connective tissue disorder', 'Conjunctivitis associated with autoimmune skin disorder', 'Connective tissue disease overlap syndrome', 'Connective tissue hereditary disorder', 'Dilated cardiomyopathy associated with connective tissue disorder', 'Disorder of connective tissue co-occurrent and due to systemic disease', 'Disseminated eosinophilic collagen disease', 'Idiopathic inflammatory myopathy', 'Immune neutropenia', 'Interstitial lung disease due to collagen vascular disease', 'Interstitial lung disease due to connective tissue disease', 'Lung disease due to connective tissue disorder', 'Lung disorder due to autoimmune disorder', 'Metabolic disease of collagen', 'Mixed collagen vascular disease', 'Necrotizing vasculitis secondary to connective tissue disease', 'Neutropenia associated with autoimmune disease', 'Overlap syndrome', 'Pediatric autoimmune neuropsychiatric disorder associated with streptococcal infection', 'Pericarditis secondary to collagen vascular disease', 'Photodermatitis co-occurrent and due to autoimmune disease', 'Poikiloderma due to connective tissue disease', 'Polymyositis', 'Polymyositis associated with autoimmune disease', 'Polyneuropathy co-occurrent and due to systemic connective tissue disorder', 'Polyneuropathy in collagen vascular disease', 'Pulmonary arterial hypertension associated with connective tissue disease', 'Renal tubulo-interstitial disorders in systemic connective tissue disorders', 'Xerostomia', 'Xerostomia due to autoimmune disease']"
68,['Dermatomyositis with malignant disease']
69,"['Arthritis secondary to hematological malignancy', 'Arthritis secondary to malignancy', 'Arthritis secondary to non-hematological malignancy']"
70,"['Arthropathy associated with a hematological disorder', 'Hemophilic arthropathy']"
71,"['Arthritis due to bleeding disorder', 'Arthropathy associated with a hematological disorder', 'Arthropathy secondary to hemoglobinopathy']"
72,[]
73,[]
